page,impressions,clicks,ctr,position,page_type,expected_ctr,ctr_ratio,issue_type,priority,estimated_gain,action,url_type,opportunity_score,type,query,competing_pages,dominant_page,total_query_impressions,priority_score,rank
https://demo-store.com/product/new-balance-gym-shoes-935,46301,1445,0.031219,1.7,low_ctr,0.1916,0.1629,Low CTR,High,6095,"Position #1.7: actual CTR 3.1% vs 19.2% expected (16% of benchmark). Fixing could add +6,095 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,22799.16,Low CTR,,,,,3,1
https://demo-store.com/product/brooks-cycling-shoes-398,44876,2467,0.054992,1.7,low_ctr,0.1916,0.287,Low CTR,High,4840,"Position #1.7: actual CTR 5.5% vs 19.2% expected (29% of benchmark). Fixing could add +4,840 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,18821.52,Low CTR,,,,,3,2
https://demo-store.com/product/on-running-cricket-shoes-882,35691,1874,0.052529,1.53,low_ctr,0.21404,0.2454,Low CTR,High,4618,"Position #1.5: actual CTR 5.3% vs 21.4% expected (25% of benchmark). Fixing could add +4,618 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,17602.89,Low CTR,,,,,3,3
https://demo-store.com/product/adidas-trail-shoes-961,35910,2052,0.057152,1.57,low_ctr,0.20876,0.2738,Low CTR,High,4319,"Position #1.6: actual CTR 5.7% vs 20.9% expected (27% of benchmark). Fixing could add +4,319 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,16610.09,Low CTR,,,,,3,4
https://demo-store.com/product/new-balance-gym-shoes-650,45347,3290,0.072569,1.85,low_ctr,0.1718,0.4224,Low CTR,High,3331,"Position #1.9: actual CTR 7.3% vs 17.2% expected (42% of benchmark). Fixing could add +3,331 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,14158.07,Low CTR,,,,,3,5
https://demo-store.com/product/mizuno-football-boots-221,34667,886,0.025563,2.19,low_ctr,0.14364,0.178,Low CTR,High,3346,"Position #2.2: actual CTR 2.6% vs 14.4% expected (18% of benchmark). Fixing could add +3,346 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,13012.0,Low CTR,,,,,3,6
https://demo-store.com/product/brooks-cycling-shoes-428,47612,1204,0.02529,3.07,low_ctr,0.10597,0.2387,Low CTR,High,3084,"Position #3.1: actual CTR 2.5% vs 10.6% expected (24% of benchmark). Fixing could add +3,084 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,11806.85,Low CTR,,,,,3,7
https://demo-store.com/product/puma-basketball-shoes-212,48482,738,0.015228,3.45,low_ctr,0.09495,0.1604,Low CTR,High,3174,"Position #3.5: actual CTR 1.5% vs 9.5% expected (16% of benchmark). Fixing could add +3,174 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,11798.69,Low CTR,,,,,3,8
https://demo-store.com/product/under-armour-casual-shoes-201,29920,1760,0.058829,1.78,low_ctr,0.18104,0.325,Low CTR,High,2844,"Position #1.8: actual CTR 5.9% vs 18.1% expected (32% of benchmark). Fixing could add +2,844 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,11346.07,Low CTR,,,,,3,9
https://demo-store.com/blog/cushioning-guide-2024,39031,1282,0.032859,2.57,low_ctr,0.12692,0.2589,Low CTR,High,2928,"Position #2.6: actual CTR 3.3% vs 12.7% expected (26% of benchmark). Fixing could add +2,928 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add FAQ schema for expanded SERP presence.",blog,11255.2,Low CTR,,,,,3,10
https://demo-store.com/product/hoka-cross-training-504,27318,662,0.024261,2.1,low_ctr,0.1476,0.1644,Low CTR,High,2764,"Position #2.1: actual CTR 2.4% vs 14.8% expected (16% of benchmark). Fixing could add +2,764 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,10869.96,Low CTR,,,,,3,11
https://demo-store.com/product/hoka-cross-training-99,47277,1856,0.039274,2.89,low_ctr,0.11284,0.3481,Low CTR,High,2677,"Position #2.9: actual CTR 3.9% vs 11.3% expected (35% of benchmark). Fixing could add +2,677 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,10664.32,Low CTR,,,,,3,12
https://demo-store.com/product/reebok-tennis-shoes-588,39169,1638,0.041821,2.54,low_ctr,0.12824,0.3261,Low CTR,High,2631,"Position #2.5: actual CTR 4.2% vs 12.8% expected (33% of benchmark). Fixing could add +2,631 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,10392.12,Low CTR,,,,,3,13
https://demo-store.com/product/altra-badminton-shoes-808,47031,683,0.014537,3.83,low_ctr,0.08393,0.1732,Low CTR,High,2671,"Position #3.8: actual CTR 1.5% vs 8.4% expected (17% of benchmark). Fixing could add +2,671 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,10152.8,Low CTR,,,,,3,14
https://demo-store.com/sale/mid-season-sale,40334,970,0.024056,3.1,low_ctr,0.1051,0.2289,Low CTR,High,2632,"Position #3.1: actual CTR 2.4% vs 10.5% expected (23% of benchmark). Fixing could add +2,632 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add urgency/discount % to title tag.",sale,10032.76,Low CTR,,,,,3,15
https://demo-store.com/product/mizuno-football-boots-461,19256,815,0.042329,1.54,low_ctr,0.21272,0.199,Low CTR,High,2666,"Position #1.5: actual CTR 4.2% vs 21.3% expected (20% of benchmark). Fixing could add +2,666 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,10015.62,Low CTR,,,,,3,16
https://demo-store.com/product/nike-running-shoes-585,48663,402,0.008267,4.44,low_ctr,0.07108,0.1163,Low CTR,High,2537,"Position #4.4: actual CTR 0.8% vs 7.1% expected (12% of benchmark). Fixing could add +2,537 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,9685.47,Low CTR,,,,,3,17
https://demo-store.com/product/hoka-cross-training-294,44952,370,0.008241,4.22,low_ctr,0.07504,0.1098,Low CTR,High,2496,"Position #4.2: actual CTR 0.8% vs 7.5% expected (11% of benchmark). Fixing could add +2,496 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,9482.53,Low CTR,,,,,3,18
https://demo-store.com/product/brooks-cycling-shoes-698,39052,1017,0.026062,3.12,low_ctr,0.10452,0.2493,Low CTR,High,2451,"Position #3.1: actual CTR 2.6% vs 10.5% expected (25% of benchmark). Fixing could add +2,451 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,9396.26,Low CTR,,,,,3,19
https://demo-store.com/product/mizuno-football-boots-836,27920,892,0.031973,2.3,low_ctr,0.1388,0.2304,Low CTR,High,2401,"Position #2.3: actual CTR 3.2% vs 13.9% expected (23% of benchmark). Fixing could add +2,401 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,9342.27,Low CTR,,,,,3,20
https://demo-store.com/product/under-armour-casual-shoes-366,30925,871,0.028194,2.58,low_ctr,0.12648,0.2229,Low CTR,High,2452,"Position #2.6: actual CTR 2.8% vs 12.6% expected (22% of benchmark). Fixing could add +2,452 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,9314.66,Low CTR,,,,,3,21
https://demo-store.com/product/adidas-trail-shoes-511,45514,894,0.019661,3.84,low_ctr,0.08364,0.2351,Low CTR,High,2340,"Position #3.8: actual CTR 2.0% vs 8.4% expected (24% of benchmark). Fixing could add +2,340 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,9066.06,Low CTR,,,,,3,22
https://demo-store.com/product/reebok-tennis-shoes-423,39891,842,0.021131,3.45,low_ctr,0.09495,0.2225,Low CTR,High,2376,"Position #3.5: actual CTR 2.1% vs 9.5% expected (22% of benchmark). Fixing could add +2,376 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,8989.93,Low CTR,,,,,3,23
https://demo-store.com/product/puma-basketball-shoes-197,36275,750,0.020687,3.24,low_ctr,0.10104,0.2047,Low CTR,High,2365,"Position #3.2: actual CTR 2.1% vs 10.1% expected (20% of benchmark). Fixing could add +2,365 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,8904.17,Low CTR,,,,,3,24
https://demo-store.com/product/saucony-hiking-boots-127,30627,341,0.011149,3.14,low_ctr,0.10394,0.1073,Low CTR,High,2364,"Position #3.1: actual CTR 1.1% vs 10.4% expected (11% of benchmark). Fixing could add +2,364 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,8707.24,Low CTR,,,,,3,25
https://demo-store.com/product/reebok-tennis-shoes-978,18969,657,0.034649,1.78,low_ctr,0.18104,0.1914,Low CTR,High,2261,"Position #1.8: actual CTR 3.5% vs 18.1% expected (19% of benchmark). Fixing could add +2,261 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,8617.04,Low CTR,,,,,3,26
https://demo-store.com/product/hoka-cross-training-789,32235,1161,0.036047,2.65,low_ctr,0.1234,0.2921,Low CTR,High,2219,"Position #2.6: actual CTR 3.6% vs 12.3% expected (29% of benchmark). Fixing could add +2,219 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,8611.0,Low CTR,,,,,3,27
https://demo-store.com/product/saucony-hiking-boots-352,44659,818,0.018327,4.01,low_ctr,0.07882,0.2325,Low CTR,High,2173,"Position #4.0: actual CTR 1.8% vs 7.9% expected (23% of benchmark). Fixing could add +2,173 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,8547.58,Low CTR,,,,,3,28
https://demo-store.com/product/hoka-cross-training-204,41678,970,0.023291,3.66,low_ctr,0.08886,0.2621,Low CTR,High,2177,"Position #3.7: actual CTR 2.3% vs 8.9% expected (26% of benchmark). Fixing could add +2,177 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,8402.79,Low CTR,,,,,3,29
https://demo-store.com/product/puma-basketball-shoes-767,47769,1051,0.022013,4.33,low_ctr,0.07306,0.3013,Low CTR,High,1914,"Position #4.3: actual CTR 2.2% vs 7.3% expected (30% of benchmark). Fixing could add +1,914 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,7708.13,Low CTR,,,,,3,30
https://demo-store.com/product/asics-walking-shoes-334,37567,391,0.01042,4.22,low_ctr,0.07504,0.1389,Low CTR,High,2004,"Position #4.2: actual CTR 1.0% vs 7.5% expected (14% of benchmark). Fixing could add +2,004 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,7665.63,Low CTR,,,,,3,31
https://demo-store.com/brands/under-armour,41242,815,0.019775,4.1,low_ctr,0.0772,0.2562,Low CTR,High,1890,"Position #4.1: actual CTR 2.0% vs 7.7% expected (26% of benchmark). Fixing could add +1,890 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data.",brand,7481.9,Low CTR,,,,,3,32
https://demo-store.com/product/altra-badminton-shoes-433,37939,931,0.024543,3.73,low_ctr,0.08683,0.2827,Low CTR,High,1868,"Position #3.7: actual CTR 2.5% vs 8.7% expected (28% of benchmark). Fixing could add +1,868 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,7295.88,Low CTR,,,,,3,33
https://demo-store.com/product/altra-badminton-shoes-868,40554,734,0.018123,4.41,low_ctr,0.07162,0.253,Low CTR,High,1733,"Position #4.4: actual CTR 1.8% vs 7.2% expected (25% of benchmark). Fixing could add +1,733 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,6869.35,Low CTR,,,,,3,34
https://demo-store.com/product/vans-swimming-359,38588,550,0.014276,4.58,low_ctr,0.06856,0.2082,Low CTR,High,1697,"Position #4.6: actual CTR 1.4% vs 6.9% expected (21% of benchmark). Fixing could add +1,697 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,6671.17,Low CTR,,,,,3,35
https://demo-store.com/product/under-armour-casual-shoes-111,38905,686,0.017654,4.4,low_ctr,0.0718,0.2459,Low CTR,High,1687,"Position #4.4: actual CTR 1.8% vs 7.2% expected (25% of benchmark). Fixing could add +1,687 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,6667.79,Low CTR,,,,,3,36
https://demo-store.com/product/vans-swimming-644,17237,538,0.031256,2.06,low_ctr,0.14936,0.2093,Low CTR,High,1649,"Position #2.1: actual CTR 3.1% vs 14.9% expected (21% of benchmark). Fixing could add +1,649 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,6616.16,Low CTR,,,,,3,37
https://demo-store.com/product/new-balance-gym-shoes-605,35438,670,0.018909,4.16,low_ctr,0.07612,0.2484,Low CTR,High,1622,"Position #4.2: actual CTR 1.9% vs 7.6% expected (25% of benchmark). Fixing could add +1,622 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,6402.69,Low CTR,,,,,3,38
https://demo-store.com/product/on-running-cricket-shoes-762,37247,795,0.021364,4.22,low_ctr,0.07504,0.2847,Low CTR,High,1580,"Position #4.2: actual CTR 2.1% vs 7.5% expected (28% of benchmark). Fixing could add +1,580 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,6313.45,Low CTR,,,,,3,39
https://demo-store.com/product/puma-basketball-shoes-842,13510,478,0.035386,1.76,low_ctr,0.18368,0.1927,Low CTR,High,1631,"Position #1.8: actual CTR 3.5% vs 18.4% expected (19% of benchmark). Fixing could add +1,631 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,6196.94,Low CTR,,,,,3,40
https://demo-store.com/product/altra-badminton-shoes-883,41346,901,0.021809,4.64,low_ctr,0.06748,0.3232,Low CTR,High,1469,"Position #4.6: actual CTR 2.2% vs 6.7% expected (32% of benchmark). Fixing could add +1,469 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,6030.81,Low CTR,,,,,3,41
https://demo-store.com/product/nike-running-shoes-690,24381,314,0.012891,3.57,low_ctr,0.09147,0.1409,Low CTR,High,1581,"Position #3.6: actual CTR 1.3% vs 9.1% expected (14% of benchmark). Fixing could add +1,581 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,5867.15,Low CTR,,,,,3,42
https://demo-store.com/product/puma-basketball-shoes-362,28339,617,0.021805,3.7,low_ctr,0.0877,0.2486,Low CTR,High,1494,"Position #3.7: actual CTR 2.2% vs 8.8% expected (25% of benchmark). Fixing could add +1,494 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,5755.11,Low CTR,,,,,3,43
https://demo-store.com/product/new-balance-gym-shoes-665,19990,643,0.032177,2.59,low_ctr,0.12604,0.2553,Low CTR,High,1498,"Position #2.6: actual CTR 3.2% vs 12.6% expected (26% of benchmark). Fixing could add +1,498 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,5747.7,Low CTR,,,,,3,44
https://demo-store.com/product/on-running-cricket-shoes-507,24821,464,0.018711,3.47,low_ctr,0.09437,0.1983,Low CTR,High,1526,"Position #3.5: actual CTR 1.9% vs 9.4% expected (20% of benchmark). Fixing could add +1,526 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,5734.58,Low CTR,,,,,3,45
https://demo-store.com/product/adidas-trail-shoes-781,24028,553,0.023028,3.25,low_ctr,0.10075,0.2286,Low CTR,High,1504,"Position #3.2: actual CTR 2.3% vs 10.1% expected (23% of benchmark). Fixing could add +1,504 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,5703.14,Low CTR,,,,,3,46
https://demo-store.com/product/nike-running-shoes-930,29505,424,0.014377,4.31,low_ctr,0.07342,0.1958,Low CTR,High,1417,"Position #4.3: actual CTR 1.4% vs 7.3% expected (20% of benchmark). Fixing could add +1,417 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,5505.32,Low CTR,,,,,3,47
https://demo-store.com/product/on-running-cricket-shoes-657,30225,521,0.017262,4.25,low_ctr,0.0745,0.2317,Low CTR,High,1392,"Position #4.2: actual CTR 1.7% vs 7.4% expected (23% of benchmark). Fixing could add +1,392 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,5463.97,Low CTR,,,,,3,48
https://demo-store.com/product/under-armour-casual-shoes-606,13961,427,0.030594,2.04,low_ctr,0.15024,0.2036,Low CTR,High,1355,"Position #2.0: actual CTR 3.1% vs 15.0% expected (20% of benchmark). Fixing could add +1,355 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,5450.26,Low CTR,,,,,3,49
https://demo-store.com/product/new-balance-gym-shoes-410,18776,343,0.018271,2.9,low_ctr,0.1124,0.1626,Low CTR,High,1450,"Position #2.9: actual CTR 1.8% vs 11.2% expected (16% of benchmark). Fixing could add +1,450 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,5421.73,Low CTR,,,,,3,50
https://demo-store.com/product/salomon-yoga-565,23915,539,0.022549,3.39,low_ctr,0.09669,0.2332,Low CTR,High,1426,"Position #3.4: actual CTR 2.3% vs 9.7% expected (23% of benchmark). Fixing could add +1,426 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,5409.45,Low CTR,,,,,3,51
https://demo-store.com/product/puma-basketball-shoes-977,34379,650,0.018926,4.61,low_ctr,0.06802,0.2782,Low CTR,High,1337,"Position #4.6: actual CTR 1.9% vs 6.8% expected (28% of benchmark). Fixing could add +1,337 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,5382.81,Low CTR,,,,,3,52
https://demo-store.com/product/nike-running-shoes-285,30788,398,0.012945,4.66,low_ctr,0.06712,0.1929,Low CTR,High,1357,"Position #4.7: actual CTR 1.3% vs 6.7% expected (19% of benchmark). Fixing could add +1,357 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,5332.4,Low CTR,,,,,3,53
https://demo-store.com/product/brooks-cycling-shoes-113,18679,279,0.014982,3.28,low_ctr,0.09988,0.15,Low CTR,High,1305,"Position #3.3: actual CTR 1.5% vs 10.0% expected (15% of benchmark). Fixing could add +1,305 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,4840.59,Low CTR,,,,,3,54
